date,price,volatility,on_chain_volume,network_hashrate,active_addresses,exchange_inflow,exchange_outflow,wallet_age,transaction_size,transaction_fee,fraud_label
01-01-2022 00:00,10000,0.02,1386429.256,993421.3554,12542.43962,622440.6602,645121.4286,64.49575244,0.832445276,0.0033224,0
01-01-2022 04:00,9772.050359,0.019106196,1145875.256,1003642.764,10716.4053,499963.6916,404245.4009,10.8235834,0.108852264,0.000649269,0
01-01-2022 08:00,9757.957738,0.019224094,1394075.746,1006902.635,9024.077464,609608.47,491626.5617,64.86934016,0.229403815,0.002008671,0
01-01-2022 12:00,9809.092581,0.020616378,1488699.099,990147.5502,10220.09452,657897.24,501297.6419,116.4354254,0.345323253,0.000124194,0
01-01-2022 16:00,9802.515884,0.01965784,1173999.077,997998.1081,8634.419393,525039.2367,611736.7454,530.8671749,0.284947468,0.002018274,0
01-01-2022 20:00,9583.594164,0.020126308,1048966.526,999816.8317,9220.971518,462419.4011,396133.1038,40.24544018,0.223179173,0.000521742,0
02-01-2022 00:00,9588.252894,0.01947929,1041852.052,973987.8966,10618.00184,481294.4186,546964.0565,64.19767022,0.435875463,0.001002427,0
02-01-2022 04:00,9493.506514,0.019884348,1142587.31,1006153.964,10515.55853,508994.3038,454695.2871,11.07978167,0.410191306,0.001911304,0
02-01-2022 08:00,9436.266305,0.01981983,1163116.147,1008599.621,11093.0834,528789.9082,623962.7262,76.68740353,0.644546958,0.001188247,0
02-01-2022 12:00,9355.91628,0.021265554,1138170.206,998017.3201,10445.52655,497504.7031,507679.5302,18.7083269,0.235964658,0.001145445,0
02-01-2022 16:00,9419.540584,0.021868495,1137160.23,1017036.598,10907.73454,501885.8347,565614.9069,185.4101872,0.479462046,0.000524017,0
02-01-2022 20:00,9361.616424,0.020771031,1202784.971,999916.9235,9864.874503,518235.7743,529154.5552,38.80765397,4.108198487,0.000557031,0
03-01-2022 00:00,9101.782117,0.020560728,1021411.423,981770.4419,8581.1065,461444.8353,349348.4709,180.1032291,1.776823292,0.000373566,0
03-01-2022 04:00,9240.621551,0.021640101,1132349.347,1003072.501,8675.75471,514021.3855,688841.8809,16.88683627,0.29410874,0.000148927,0
